Type;Category;Family;Genus;Species;Mean_BodySize_µm;Habitat;Name;Sub-Phylum;Name_Abbreviation;Log10_BodySize
Unicellular;Phytoplankton;Dinobryaceae;Dinobryon;sertularia;105;pel;Dinobryon sertularia;phytoplankton;Dnbrynsr;2.02118929906994
Unicellular;Phytoplankton;Dinobryaceae;Dinobryon;divergens;105;pel;Dinobryon divergens;phytoplankton;Dnbd;2.02118929906994
Unicellular;Phytoplankton;Dinobryaceae;Dinobryon;elegantissimum;105;pel;Dinobryon elegantissimum;phytoplankton;Dnbe;2.02118929906994
Unicellular;Phytoplankton;Dinobryaceae;Dinobryon;sociale;105;pel;Dinobryon sociale;phytoplankton;Dnbrynsc;2.02118929906994
Unicellular;Cyanobacteria;Pseudanabaenaceae;Pseudanabaena;limnetica;102.5;pel;Pseudanabaena limnetica;cyanobacteria;Psdl;2.01072386539177
Unicellular;Cyanobacteria;Pseudanabaenaceae;Pseudanabaena;acicularis;102.5;pel;Pseudanabaena acicularis;cyanobacteria;Psdna;2.01072386539177
Unicellular;Cyanobacteria;Nostocaceae;Anabaena;sp.;102;pel;Anabaena sp;cyanobacteria;Anbs;2.00860017176192
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;recta;95;ben;Nitzschia recta;phytoplankton;Ntzr;1.97772360528885
Unicellular;Phytoplankton;Selenastraceae;Monoraphidium;circinale;92;pel;Monoraphidium circinale;phytoplankton;Mnrphdmcr;1.96378782734556
Unicellular;Phytoplankton;Selenastraceae;Monoraphidium;komarkovae;92;pel;Monoraphidium komarkovae;phytoplankton;Mnrk;1.96378782734556
Unicellular;Phytoplankton;Selenastraceae;Monoraphidium;nanum;92;pel;Monoraphidium nanum;phytoplankton;Mnrn;1.96378782734556
Unicellular;Phytoplankton;Selenastraceae;Monoraphidium;convolutum;92;pel;Monoraphidium convolutum;phytoplankton;Mnrphdmcn;1.96378782734556
Unicellular;Phytoplankton;Selenastraceae;Monoraphidium;minutum;92;pel;Monoraphidium minutum;phytoplankton;Mnrm;1.96378782734556
Unicellular;Phytobenthos;Rhopalodiaceae;Epithemia;adnata;90;ben;Epithemia adnata;phytoplankton;Epta;1.95424250943932
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;brunoi;89.5;ben;Nitzschia brunoi;phytoplankton;Ntzb;1.95182303531591
Unicellular;Phytobenthos;Amphipleuraceae;Amphipleura;pellucida;86.5;ben;Amphipleura pellucida;phytoplankton;Amphpp;1.93701610746481
Unicellular;Phytobenthos;Entomoneidaceae;Entomoneis;sp.;79;ben;Entomoneis sp;phytoplankton;Ents;1.89762709129044
Unicellular;Phytobenthos;Naviculaceae;Navicula;radiosa;78.5;ben;Navicula radiosa;phytoplankton;Navclrds;1.89486965674525
Unicellular;Ciliates;Holophryidae;Holophyra;sp.;77;pel;Holophrya sp;invertebrate;Hlps;1.88649072517248
Unicellular;Phytobenthos;Tabellariaceae;Diatoma;ehrenbergii;75;ben;Diatoma ehrenbergii;phytoplankton;Dtme;1.8750612633917
Unicellular;Ciliates;Codonellidae;Tintinnopsis;tubulosoides;74;pel;Tintinnopsis tubulosoides;invertebrate;Tntt;1.86923171973098
Unicellular;Phytoplankton;Codonosigaceae;Desmarella;brachycalyx;73.5;pel;Desmarella brachycalyx;phytoplankton;Dsmb;1.86628733908419
Unicellular;Ciliates;Vorticellidae;Vorticella;sp.;72.5;pel;Vorticella sp;invertebrate;Vrts;1.86033800657099
Unicellular;Phytobenthos;Rhaphoneidaceae;Rhaphoneis;amphiceros;72.5;ben;Rhaphoneis amphiceros;phytoplankton;Rhpa;1.86033800657099
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;gracilis;70;ben;Nitzschia gracilis;phytoplankton;Ntzg;1.84509804001426
Unicellular;Phytoplankton;Fragilariaceae;Asterionella;formosa;70;pel;Asterionella formosa;phytoplankton;Astf;1.84509804001426
Unicellular;Phytobenthos;Brachysiraceae;Brachysira;neoexilis;67;ben;Brachysira neoexilis;phytoplankton;Brcn;1.82607480270083
Unicellular;Ciliates;Colpodidae;Colpoda;sp.;66;pel;Colpoda sp;invertebrate;Clpds;1.81954393554187
Unicellular;Phytobenthos;Gomphonemataceae;Encyonema;prostratum;65;ben;Encyonema prostratum;phytoplankton;Encp;1.81291335664286
